Timestamp (Hour Ending),Demand (MWh),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh)
2/2/2023 12 a.m. EST,13561.0,459.0,3.0,868.0
2/2/2023 1 a.m. EST,13510.0,467.0,3.0,851.0
2/2/2023 2 a.m. EST,13353.0,453.0,3.0,850.0
2/2/2023 3 a.m. EST,13232.0,453.0,3.0,852.0
2/2/2023 4 a.m. EST,13269.0,445.0,3.0,851.0
2/2/2023 5 a.m. EST,13645.0,498.0,3.0,845.0
2/2/2023 6 a.m. EST,14204.0,512.0,3.0,985.0
2/2/2023 7 a.m. EST,15458.0,531.0,3.0,1271.0
2/2/2023 8 a.m. EST,16289.0,519.0,20.0,1788.0
2/2/2023 9 a.m. EST,15671.0,475.0,135.0,1402.0
2/2/2023 10 a.m. EST,14606.0,427.0,266.0,959.0
2/2/2023 11 a.m. EST,13876.0,405.0,315.0,889.0
2/2/2023 12 p.m. EST,13757.0,388.0,323.0,854.0
2/2/2023 1 p.m. EST,13349.0,347.0,341.0,849.0
2/2/2023 2 p.m. EST,13290.0,417.0,333.0,874.0
2/2/2023 3 p.m. EST,13299.0,417.0,276.0,908.0
2/2/2023 4 p.m. EST,14077.0,486.0,169.0,952.0
2/2/2023 5 p.m. EST,15584.0,525.0,35.0,1557.0
2/2/2023 6 p.m. EST,16813.0,671.0,6.0,1768.0
2/2/2023 7 p.m. EST,16964.0,799.0,6.0,1788.0
2/2/2023 8 p.m. EST,16610.0,822.0,6.0,1780.0
2/2/2023 9 p.m. EST,16013.0,862.0,5.0,1436.0
2/2/2023 10 p.m. EST,15214.0,739.0,3.0,1012.0
2/2/2023 11 p.m. EST,14306.0,806.0,3.0,928.0
2/3/2023 12 a.m. EST,13507.0,782.0,3.0,903.0
2/3/2023 1 a.m. EST,13497.0,812.0,3.0,852.0
2/3/2023 2 a.m. EST,13225.0,852.0,3.0,857.0
2/3/2023 3 a.m. EST,13056.0,849.0,3.0,851.0
2/3/2023 4 a.m. EST,13083.0,890.0,3.0,843.0
2/3/2023 5 a.m. EST,12961.0,798.0,3.0,790.0
2/3/2023 6 a.m. EST,13430.0,918.0,3.0,805.0
2/3/2023 7 a.m. EST,15058.0,982.0,3.0,921.0
2/3/2023 8 a.m. EST,16051.0,1062.0,27.0,985.0
2/3/2023 9 a.m. EST,15521.0,1049.0,173.0,972.0
2/3/2023 10 a.m. EST,14525.0,1051.0,329.0,884.0
2/3/2023 11 a.m. EST,13942.0,1080.0,397.0,912.0
2/3/2023 12 p.m. EST,13748.0,1076.0,413.0,952.0
2/3/2023 1 p.m. EST,13743.0,1046.0,410.0,950.0
2/3/2023 2 p.m. EST,14039.0,1043.0,393.0,969.0
2/3/2023 3 p.m. EST,14750.0,974.0,315.0,1018.0
2/3/2023 4 p.m. EST,16209.0,918.0,188.0,1089.0
2/3/2023 5 p.m. EST,17984.0,871.0,43.0,1685.0
2/3/2023 6 p.m. EST,19267.0,842.0,7.0,1687.0
2/3/2023 7 p.m. EST,19487.0,810.0,7.0,1950.0
2/3/2023 8 p.m. EST,19252.0,768.0,6.0,1651.0
2/3/2023 9 p.m. EST,18967.0,735.0,5.0,1124.0
2/3/2023 10 p.m. EST,18843.0,695.0,5.0,865.0
2/3/2023 11 p.m. EST,18123.0,664.0,5.0,810.0
2/4/2023 12 a.m. EST,17453.0,649.0,5.0,825.0
2/4/2023 1 a.m. EST,16998.0,635.0,5.0,807.0
2/4/2023 2 a.m. EST,16402.0,614.0,5.0,789.0
2/4/2023 3 a.m. EST,16297.0,608.0,5.0,771.0
2/4/2023 4 a.m. EST,16273.0,596.0,5.0,754.0
2/4/2023 5 a.m. EST,16433.0,590.0,5.0,727.0
2/4/2023 6 a.m. EST,16783.0,584.0,5.0,1294.0
2/4/2023 7 a.m. EST,17415.0,570.0,5.0,2119.0
2/4/2023 8 a.m. EST,17976.0,562.0,28.0,2351.0
2/4/2023 9 a.m. EST,17714.0,542.0,145.0,1825.0
2/4/2023 10 a.m. EST,16987.0,557.0,261.0,1469.0
2/4/2023 11 a.m. EST,16475.0,604.0,318.0,1204.0
2/4/2023 12 p.m. EST,16079.0,618.0,348.0,1027.0
2/4/2023 1 p.m. EST,16110.0,636.0,351.0,1080.0
2/4/2023 2 p.m. EST,16177.0,657.0,334.0,936.0
2/4/2023 3 p.m. EST,16898.0,645.0,239.0,1004.0
2/4/2023 4 p.m. EST,17978.0,630.0,130.0,1122.0
2/4/2023 5 p.m. EST,18639.0,618.0,28.0,1168.0
2/4/2023 6 p.m. EST,19287.0,580.0,7.0,1112.0
2/4/2023 7 p.m. EST,19092.0,544.0,7.0,960.0
2/4/2023 8 p.m. EST,18593.0,531.0,7.0,1178.0
2/4/2023 9 p.m. EST,18037.0,449.0,6.0,1264.0
2/4/2023 10 p.m. EST,17283.0,385.0,5.0,1082.0
2/4/2023 11 p.m. EST,16390.0,319.0,5.0,1255.0
2/5/2023 12 a.m. EST,15533.0,281.0,5.0,850.0
2/5/2023 1 a.m. EST,14846.0,317.0,5.0,738.0
2/5/2023 2 a.m. EST,14358.0,319.0,5.0,769.0
2/5/2023 3 a.m. EST,14054.0,364.0,5.0,959.0
2/5/2023 4 a.m. EST,13871.0,350.0,5.0,1305.0
2/5/2023 5 a.m. EST,13795.0,364.0,5.0,1076.0
2/5/2023 6 a.m. EST,13917.0,382.0,5.0,936.0
2/5/2023 7 a.m. EST,14299.0,357.0,5.0,895.0
2/5/2023 8 a.m. EST,14548.0,355.0,23.0,876.0
2/5/2023 9 a.m. EST,14404.0,331.0,114.0,901.0
2/5/2023 10 a.m. EST,13949.0,286.0,234.0,876.0
2/5/2023 11 a.m. EST,13605.0,249.0,298.0,830.0
2/5/2023 12 p.m. EST,13128.0,262.0,330.0,834.0
2/5/2023 1 p.m. EST,12997.0,247.0,309.0,817.0
2/5/2023 2 p.m. EST,13134.0,276.0,229.0,827.0
2/5/2023 3 p.m. EST,13613.0,228.0,200.0,871.0
2/5/2023 4 p.m. EST,14247.0,247.0,123.0,931.0
2/5/2023 5 p.m. EST,14813.0,292.0,33.0,1022.0
2/5/2023 6 p.m. EST,15996.0,387.0,7.0,1710.0
2/5/2023 7 p.m. EST,16061.0,374.0,7.0,1800.0
2/5/2023 8 p.m. EST,15621.0,320.0,7.0,1298.0
2/5/2023 9 p.m. EST,15021.0,325.0,6.0,1031.0
2/5/2023 10 p.m. EST,14630.0,312.0,5.0,929.0
2/5/2023 11 p.m. EST,13956.0,307.0,5.0,919.0
2/6/2023 12 a.m. EST,13135.0,323.0,5.0,833.0
2/6/2023 1 a.m. EST,12426.0,323.0,5.0,796.0
2/6/2023 2 a.m. EST,12347.0,341.0,5.0,850.0
2/6/2023 3 a.m. EST,12240.0,358.0,5.0,859.0
2/6/2023 4 a.m. EST,12540.0,296.0,5.0,865.0
2/6/2023 5 a.m. EST,12659.0,249.0,5.0,866.0
2/6/2023 6 a.m. EST,12782.0,244.0,5.0,954.0
2/6/2023 7 a.m. EST,14271.0,226.0,5.0,1350.0
2/6/2023 8 a.m. EST,15169.0,165.0,16.0,1719.0
2/6/2023 9 a.m. EST,15037.0,157.0,64.0,1370.0
2/6/2023 10 a.m. EST,14315.0,218.0,132.0,1139.0
2/6/2023 11 a.m. EST,14091.0,257.0,182.0,887.0
2/6/2023 12 p.m. EST,13786.0,287.0,212.0,816.0
2/6/2023 1 p.m. EST,13687.0,328.0,197.0,850.0
2/6/2023 2 p.m. EST,13656.0,419.0,205.0,846.0
2/6/2023 3 p.m. EST,14032.0,529.0,151.0,862.0
2/6/2023 4 p.m. EST,14542.0,603.0,87.0,877.0
2/6/2023 5 p.m. EST,15046.0,632.0,34.0,1079.0
2/6/2023 6 p.m. EST,16199.0,730.0,6.0,2100.0
2/6/2023 7 p.m. EST,16350.0,808.0,5.0,2006.0
2/6/2023 8 p.m. EST,15935.0,763.0,5.0,1796.0
2/6/2023 9 p.m. EST,15369.0,697.0,5.0,1486.0
2/6/2023 10 p.m. EST,14535.0,642.0,5.0,998.0
2/6/2023 11 p.m. EST,13518.0,609.0,5.0,889.0
2/7/2023 12 a.m. EST,13053.0,589.0,5.0,886.0
2/7/2023 1 a.m. EST,12818.0,507.0,5.0,861.0
2/7/2023 2 a.m. EST,12798.0,463.0,5.0,846.0
2/7/2023 3 a.m. EST,12763.0,489.0,5.0,831.0
2/7/2023 4 a.m. EST,12876.0,516.0,5.0,797.0
2/7/2023 5 a.m. EST,13287.0,479.0,5.0,785.0
2/7/2023 6 a.m. EST,13572.0,429.0,5.0,838.0
2/7/2023 7 a.m. EST,15034.0,422.0,5.0,1234.0
2/7/2023 8 a.m. EST,15741.0,434.0,39.0,1889.0
2/7/2023 9 a.m. EST,14726.0,420.0,192.0,1134.0
2/7/2023 10 a.m. EST,13619.0,342.0,331.0,936.0
2/7/2023 11 a.m. EST,13376.0,256.0,406.0,863.0
2/7/2023 12 p.m. EST,13061.0,150.0,422.0,831.0
2/7/2023 1 p.m. EST,12695.0,130.0,405.0,828.0
2/7/2023 2 p.m. EST,,0.0,0.0,0.0
2/7/2023 3 p.m. EST,,0.0,0.0,0.0
2/7/2023 4 p.m. EST,14446.0,273.0,114.0,824.0
2/7/2023 5 p.m. EST,15594.0,307.0,36.0,1549.0
2/7/2023 6 p.m. EST,16710.0,423.0,9.0,1725.0
2/7/2023 7 p.m. EST,16736.0,471.0,9.0,1684.0
2/7/2023 8 p.m. EST,16274.0,526.0,9.0,1252.0
2/7/2023 9 p.m. EST,15610.0,486.0,8.0,878.0
2/7/2023 10 p.m. EST,14716.0,460.0,7.0,866.0
2/7/2023 11 p.m. EST,13875.0,482.0,7.0,848.0
2/8/2023 12 a.m. EST,13180.0,526.0,7.0,800.0
2/8/2023 1 a.m. EST,12420.0,550.0,7.0,791.0
2/8/2023 2 a.m. EST,12476.0,516.0,7.0,748.0
2/8/2023 3 a.m. EST,12358.0,538.0,7.0,741.0
2/8/2023 4 a.m. EST,12124.0,552.0,7.0,792.0
2/8/2023 5 a.m. EST,12054.0,508.0,7.0,815.0
2/8/2023 6 a.m. EST,12638.0,489.0,7.0,817.0
2/8/2023 7 a.m. EST,14115.0,463.0,7.0,1064.0
2/8/2023 8 a.m. EST,14834.0,504.0,23.0,1441.0
2/8/2023 9 a.m. EST,14556.0,614.0,86.0,1066.0
2/8/2023 10 a.m. EST,14012.0,612.0,132.0,898.0
2/8/2023 11 a.m. EST,13330.0,630.0,167.0,852.0
2/8/2023 12 p.m. EST,13275.0,699.0,195.0,848.0
2/8/2023 1 p.m. EST,12838.0,723.0,272.0,794.0
2/8/2023 2 p.m. EST,12278.0,878.0,341.0,821.0
2/8/2023 3 p.m. EST,12307.0,907.0,317.0,870.0
2/8/2023 4 p.m. EST,12697.0,910.0,215.0,878.0
2/8/2023 5 p.m. EST,14197.0,861.0,63.0,941.0
2/8/2023 6 p.m. EST,15537.0,898.0,11.0,1460.0
2/8/2023 7 p.m. EST,15830.0,973.0,10.0,1678.0
2/8/2023 8 p.m. EST,15495.0,956.0,10.0,1553.0
2/8/2023 9 p.m. EST,14955.0,904.0,10.0,1158.0
2/8/2023 10 p.m. EST,14152.0,954.0,9.0,900.0
2/8/2023 11 p.m. EST,13130.0,932.0,9.0,809.0
2/9/2023 12 a.m. EST,12518.0,865.0,9.0,774.0
2/9/2023 1 a.m. EST,11786.0,,,
2/9/2023 2 a.m. EST,12061.0,,,
2/9/2023 3 a.m. EST,12016.0,,,
2/9/2023 4 a.m. EST,12088.0,,,
2/9/2023 5 a.m. EST,12307.0,,,
2/9/2023 6 a.m. EST,12945.0,,,
2/9/2023 7 a.m. EST,14284.0,,,
2/9/2023 8 a.m. EST,14920.0,,,
2/9/2023 9 a.m. EST,14328.0,,,
2/9/2023 10 a.m. EST,13828.0,,,
2/9/2023 11 a.m. EST,13912.0,,,
2/9/2023 12 p.m. EST,14131.0,,,
2/9/2023 1 p.m. EST,14305.0,,,
2/9/2023 2 p.m. EST,,,,
2/9/2023 3 p.m. EST,,,,
2/9/2023 4 p.m. EST,,,,
2/9/2023 5 p.m. EST,,,,
2/9/2023 6 p.m. EST,,,,
2/9/2023 7 p.m. EST,,,,
2/9/2023 8 p.m. EST,,,,
2/9/2023 9 p.m. EST,,,,
2/9/2023 10 p.m. EST,,,,
2/9/2023 11 p.m. EST,,,,
2/10/2023 12 a.m. EST,,,,
